Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,IsWeekend
1503960366,2016-04-12,1,327,346,FALSE
1503960366,2016-04-13,2,384,407,FALSE
1503960366,2016-04-15,1,412,442,FALSE
1503960366,2016-04-16,2,340,367,TRUE
1503960366,2016-04-17,1,700,712,TRUE
1503960366,2016-04-19,1,304,320,FALSE
1503960366,2016-04-20,1,360,377,FALSE
1503960366,2016-04-21,1,325,364,FALSE
1503960366,2016-04-23,1,361,384,TRUE
1503960366,2016-04-24,1,430,449,TRUE
1503960366,2016-04-25,1,277,323,FALSE
1503960366,2016-04-26,1,245,274,FALSE
1503960366,2016-04-28,1,366,393,FALSE
1503960366,2016-04-29,1,341,354,FALSE
1503960366,2016-04-30,1,404,425,TRUE
1503960366,2016-05-01,1,369,396,TRUE
1503960366,2016-05-02,1,277,309,FALSE
1503960366,2016-05-03,1,273,296,FALSE
1503960366,2016-05-05,1,247,264,FALSE
1503960366,2016-05-06,1,334,367,FALSE
1503960366,2016-05-07,1,331,349,TRUE
1503960366,2016-05-08,1,594,611,TRUE
1503960366,2016-05-09,1,338,342,FALSE
1503960366,2016-05-10,1,383,403,FALSE
1503960366,2016-05-11,1,285,306,FALSE
1644430081,2016-04-29,1,119,127,FALSE
1644430081,2016-04-30,1,124,142,TRUE
1644430081,2016-05-02,1,796,961,FALSE
1644430081,2016-05-08,1,137,154,TRUE
1844505072,2016-04-15,1,644,961,FALSE
1844505072,2016-04-30,1,722,961,TRUE
1844505072,2016-05-01,1,590,961,TRUE
1927972279,2016-04-12,3,750,775,FALSE
1927972279,2016-04-13,1,398,422,FALSE
1927972279,2016-04-15,2,475,499,FALSE
1927972279,2016-04-26,1,296,315,FALSE
1927972279,2016-04-28,1,166,178,FALSE
2026352035,2016-04-12,1,503,546,FALSE
2026352035,2016-04-13,1,531,565,FALSE
2026352035,2016-04-14,1,545,568,FALSE
2026352035,2016-04-15,1,523,573,FALSE
2026352035,2016-04-16,1,524,567,TRUE
2026352035,2016-04-17,1,437,498,TRUE
2026352035,2016-04-19,1,498,540,FALSE
2026352035,2016-04-20,1,461,510,FALSE
2026352035,2016-04-21,1,477,514,FALSE
2026352035,2016-04-22,1,520,545,FALSE
2026352035,2016-04-23,1,522,554,TRUE
2026352035,2016-04-24,1,555,591,TRUE
2026352035,2016-04-25,1,506,531,FALSE
2026352035,2016-04-27,1,508,545,FALSE
2026352035,2016-04-28,1,513,545,FALSE
2026352035,2016-04-29,1,490,510,FALSE
2026352035,2016-04-30,1,573,607,TRUE
2026352035,2016-05-01,1,527,546,TRUE
2026352035,2016-05-02,1,511,543,FALSE
2026352035,2016-05-04,1,538,560,FALSE
2026352035,2016-05-05,1,468,485,FALSE
2026352035,2016-05-06,1,524,548,FALSE
2026352035,2016-05-07,1,511,521,TRUE
2026352035,2016-05-08,1,541,568,TRUE
2026352035,2016-05-09,1,531,556,FALSE
2026352035,2016-05-10,1,357,380,FALSE
2026352035,2016-05-11,1,523,553,FALSE
2026352035,2016-05-12,1,456,485,FALSE
2320127002,2016-04-23,1,61,69,TRUE
2347167796,2016-04-13,1,467,531,FALSE
2347167796,2016-04-14,1,445,489,FALSE
2347167796,2016-04-15,1,452,504,FALSE
2347167796,2016-04-17,1,556,602,TRUE
2347167796,2016-04-18,1,500,557,FALSE
2347167796,2016-04-19,1,465,514,FALSE
2347167796,2016-04-21,1,460,484,FALSE
2347167796,2016-04-22,1,405,461,FALSE
2347167796,2016-04-23,1,374,386,TRUE
2347167796,2016-04-24,1,442,459,TRUE
2347167796,2016-04-25,1,433,471,FALSE
2347167796,2016-04-26,1,436,490,FALSE
2347167796,2016-04-27,1,448,499,FALSE
2347167796,2016-04-28,1,408,450,FALSE
2347167796,2016-04-29,1,411,473,FALSE
3977333714,2016-04-12,1,274,469,FALSE
3977333714,2016-04-13,2,295,456,FALSE
3977333714,2016-04-14,1,291,397,FALSE
3977333714,2016-04-15,1,424,556,FALSE
3977333714,2016-04-16,1,283,510,TRUE
3977333714,2016-04-17,1,381,566,TRUE
3977333714,2016-04-18,2,412,522,FALSE
3977333714,2016-04-19,1,219,395,FALSE
3977333714,2016-04-20,2,152,305,FALSE
3977333714,2016-04-21,1,332,512,FALSE
3977333714,2016-04-22,1,355,476,FALSE
3977333714,2016-04-23,1,235,372,TRUE
3977333714,2016-04-24,1,310,526,TRUE
3977333714,2016-04-25,1,262,467,FALSE
3977333714,2016-04-26,1,250,371,FALSE
3977333714,2016-04-27,1,349,540,FALSE
3977333714,2016-04-28,1,261,423,FALSE
3977333714,2016-04-29,1,333,478,FALSE
3977333714,2016-04-30,1,237,382,TRUE
3977333714,2016-05-01,1,383,626,TRUE
3977333714,2016-05-02,1,230,384,FALSE
3977333714,2016-05-03,1,292,500,FALSE
3977333714,2016-05-04,1,213,336,FALSE
3977333714,2016-05-05,1,318,480,FALSE
3977333714,2016-05-06,1,323,512,FALSE
3977333714,2016-05-07,1,237,443,TRUE
3977333714,2016-05-08,2,259,456,TRUE
3977333714,2016-05-10,1,312,452,FALSE
4020332650,2016-04-12,1,501,541,FALSE
4020332650,2016-04-16,1,77,77,TRUE
4020332650,2016-05-03,1,322,332,FALSE
4020332650,2016-05-04,1,478,536,FALSE
4020332650,2016-05-05,1,226,248,FALSE
4020332650,2016-05-06,1,385,408,FALSE
4020332650,2016-05-08,1,364,402,TRUE
4020332650,2016-05-10,1,442,494,FALSE
4319703577,2016-04-14,1,535,557,FALSE
4319703577,2016-04-15,1,465,491,FALSE
4319703577,2016-04-16,1,506,522,TRUE
4319703577,2016-04-18,1,515,551,FALSE
4319703577,2016-04-19,2,461,498,FALSE
4319703577,2016-04-20,1,523,543,FALSE
4319703577,2016-04-21,1,59,65,FALSE
4319703577,2016-04-22,1,533,550,FALSE
4319703577,2016-04-23,1,692,722,TRUE
4319703577,2016-04-24,1,467,501,TRUE
4319703577,2016-04-25,1,488,506,FALSE
4319703577,2016-04-26,1,505,516,FALSE
4319703577,2016-04-27,1,286,307,FALSE
4319703577,2016-04-28,1,497,522,FALSE
4319703577,2016-04-29,1,523,546,FALSE
4319703577,2016-04-30,1,490,516,TRUE
4319703577,2016-05-01,1,484,500,TRUE
4319703577,2016-05-02,1,478,506,FALSE
4319703577,2016-05-03,1,474,512,FALSE
4319703577,2016-05-06,1,450,491,FALSE
4319703577,2016-05-07,1,507,530,TRUE
4319703577,2016-05-08,1,602,638,TRUE
4319703577,2016-05-09,1,535,565,FALSE
4319703577,2016-05-10,1,487,517,FALSE
4319703577,2016-05-11,1,529,558,FALSE
4319703577,2016-05-12,1,302,321,FALSE
4388161847,2016-04-15,1,499,526,FALSE
4388161847,2016-04-16,2,426,448,TRUE
4388161847,2016-04-17,2,619,641,TRUE
4388161847,2016-04-18,1,99,104,FALSE
4388161847,2016-04-19,1,329,338,FALSE
4388161847,2016-04-20,1,421,451,FALSE
4388161847,2016-04-21,1,442,458,FALSE
4388161847,2016-04-22,1,82,85,FALSE
4388161847,2016-04-23,1,478,501,TRUE
4388161847,2016-04-24,3,552,595,TRUE
4388161847,2016-04-26,1,319,346,FALSE
4388161847,2016-04-27,1,439,500,FALSE
4388161847,2016-04-28,1,428,458,FALSE
4388161847,2016-04-30,2,409,430,TRUE
4388161847,2016-05-01,1,547,597,TRUE
4388161847,2016-05-02,2,368,376,FALSE
4388161847,2016-05-04,1,390,414,FALSE
4388161847,2016-05-05,1,471,495,FALSE
4388161847,2016-05-05,1,471,495,FALSE
4388161847,2016-05-07,1,472,496,TRUE
4388161847,2016-05-08,2,529,541,TRUE
4388161847,2016-05-09,1,62,65,FALSE
4388161847,2016-05-10,1,354,375,FALSE
4388161847,2016-05-11,1,469,494,FALSE
4445114986,2016-04-12,2,429,457,FALSE
4445114986,2016-04-13,2,370,406,FALSE
4445114986,2016-04-14,1,441,492,FALSE
4445114986,2016-04-15,2,337,379,FALSE
4445114986,2016-04-16,1,462,499,TRUE
4445114986,2016-04-17,1,98,107,TRUE
4445114986,2016-04-19,2,388,424,FALSE
4445114986,2016-04-20,1,439,462,FALSE
4445114986,2016-04-21,1,436,469,FALSE
4445114986,2016-04-22,1,388,417,FALSE
4445114986,2016-04-25,1,328,345,FALSE
4445114986,2016-04-26,2,353,391,FALSE
4445114986,2016-04-27,1,332,374,FALSE
4445114986,2016-04-28,1,419,442,FALSE
4445114986,2016-04-29,1,106,108,FALSE
4445114986,2016-04-30,1,322,353,TRUE
4445114986,2016-05-01,2,439,459,TRUE
4445114986,2016-05-02,1,502,542,FALSE
4445114986,2016-05-03,2,417,450,FALSE
4445114986,2016-05-04,2,337,363,FALSE
4445114986,2016-05-05,2,462,513,FALSE
4445114986,2016-05-06,2,374,402,FALSE
4445114986,2016-05-07,2,401,436,TRUE
4445114986,2016-05-08,1,361,391,TRUE
4445114986,2016-05-09,1,457,533,FALSE
4445114986,2016-05-10,1,405,426,FALSE
4445114986,2016-05-11,1,499,530,FALSE
4445114986,2016-05-12,1,483,501,FALSE
4558609924,2016-04-21,1,126,137,FALSE
4558609924,2016-04-26,1,103,121,FALSE
4558609924,2016-04-29,1,171,179,FALSE
4558609924,2016-05-01,1,115,129,TRUE
4558609924,2016-05-08,1,123,134,TRUE
4702921684,2016-04-12,1,425,439,FALSE
4702921684,2016-04-13,2,400,430,FALSE
4702921684,2016-04-14,1,384,415,FALSE
4702921684,2016-04-15,1,253,257,FALSE
4702921684,2016-04-16,2,382,406,TRUE
4702921684,2016-04-17,1,591,612,TRUE
4702921684,2016-04-18,1,293,312,FALSE
4702921684,2016-04-19,1,457,487,FALSE
4702921684,2016-04-20,1,454,468,FALSE
4702921684,2016-04-21,1,425,434,FALSE
4702921684,2016-04-23,1,465,475,TRUE
4702921684,2016-04-24,1,480,506,TRUE
4702921684,2016-04-25,1,370,380,FALSE
4702921684,2016-04-26,1,421,429,FALSE
4702921684,2016-04-27,1,432,449,FALSE
4702921684,2016-04-28,1,442,461,FALSE
4702921684,2016-04-29,1,433,447,FALSE
4702921684,2016-04-30,1,479,501,TRUE
4702921684,2016-05-03,1,327,373,FALSE
4702921684,2016-05-04,1,412,434,FALSE
4702921684,2016-05-05,1,414,428,FALSE
4702921684,2016-05-06,1,404,449,FALSE
4702921684,2016-05-07,1,520,543,TRUE
4702921684,2016-05-07,1,520,543,TRUE
4702921684,2016-05-09,1,435,458,FALSE
4702921684,2016-05-10,1,416,431,FALSE
4702921684,2016-05-11,1,354,366,FALSE
4702921684,2016-05-12,1,404,442,FALSE
5553957443,2016-04-12,1,441,464,FALSE
5553957443,2016-04-13,2,455,488,FALSE
5553957443,2016-04-14,1,357,418,FALSE
5553957443,2016-04-15,1,377,409,FALSE
5553957443,2016-04-16,2,651,686,TRUE
5553957443,2016-04-17,1,350,402,TRUE
5553957443,2016-04-18,2,520,541,FALSE
5553957443,2016-04-19,1,357,410,FALSE
5553957443,2016-04-20,1,658,678,FALSE
5553957443,2016-04-21,1,399,431,FALSE
5553957443,2016-04-22,1,322,353,FALSE
5553957443,2016-04-23,2,631,725,TRUE
5553957443,2016-04-24,2,553,640,TRUE
5553957443,2016-04-25,1,433,468,FALSE
5553957443,2016-04-26,1,412,453,FALSE
5553957443,2016-04-27,1,347,391,FALSE
5553957443,2016-04-28,1,421,457,FALSE
5553957443,2016-04-29,1,450,495,FALSE
5553957443,2016-04-30,2,775,843,TRUE
5553957443,2016-05-01,2,622,686,TRUE
5553957443,2016-05-02,1,409,471,FALSE
5553957443,2016-05-03,1,380,429,FALSE
5553957443,2016-05-04,1,447,470,FALSE
5553957443,2016-05-05,1,419,464,FALSE
5553957443,2016-05-06,1,400,434,FALSE
5553957443,2016-05-07,1,442,470,TRUE
5553957443,2016-05-08,1,568,608,TRUE
5553957443,2016-05-09,1,453,494,FALSE
5553957443,2016-05-10,1,418,443,FALSE
5553957443,2016-05-11,1,463,486,FALSE
5553957443,2016-05-12,1,438,475,FALSE
5577150313,2016-04-12,1,419,438,FALSE
5577150313,2016-04-13,1,432,458,FALSE
5577150313,2016-04-14,1,477,497,FALSE
5577150313,2016-04-15,1,392,413,FALSE
5577150313,2016-04-16,1,406,445,TRUE
5577150313,2016-04-17,1,549,583,TRUE
5577150313,2016-04-18,1,527,553,FALSE
5577150313,2016-04-19,1,449,465,FALSE
5577150313,2016-04-20,1,447,480,FALSE
5577150313,2016-04-21,1,414,437,FALSE
